,ID,Nombre,Median_Viewers,Avg_Viewers,Avg_Channels,Ratio,Enlace
0,667377300,Life is Strange: Double Exposure,46.3,453.0,11.0,×41,https://twitchtracker.com/games/667377300
1,516588,Rise Online,38.9,1900.0,19.0,×102,https://twitchtracker.com/games/516588
2,2897,The Simpsons: Hit & Run,36.8,4200.0,36.0,×116,https://twitchtracker.com/games/2897
3,8105,South Park,36.6,1700.0,13.0,×132,https://twitchtracker.com/games/8105
4,34054,El Chavo,24.0,1300.0,17.0,×74,https://twitchtracker.com/games/34054
5,12839,Heroes of Might and Magic III: The Restoration of Erathia,22.7,4000.0,31.0,×128,https://twitchtracker.com/games/12839
6,3151,Tournament Poker,19.7,2600.0,32.0,×82,https://twitchtracker.com/games/3151
7,16937,Artifact,17.7,1100.0,21.0,×51,https://twitchtracker.com/games/16937
8,966704637,MIR 4,14.1,1400.0,29.0,×48,https://twitchtracker.com/games/966704637
9,509511,Marbles on Stream,12.1,2100.0,73.0,×29,https://twitchtracker.com/games/509511
10,489111,Summoners War: Sky Arena,11.8,594.0,13.0,×46,https://twitchtracker.com/games/489111
11,511399,Super Mario Maker 2,11.3,4500.0,17.0,×264,https://twitchtracker.com/games/511399
12,290075012,Sword of Justice,11.1,361.0,15.0,×24,https://twitchtracker.com/games/290075012
13,493174,Jackbox Party Packs,11.0,1200.0,25.0,×49,https://twitchtracker.com/games/493174
14,2015656787,Get To Work,10.9,796.0,11.0,×72,https://twitchtracker.com/games/2015656787
15,1669431183,DJs,10.7,9800.0,209.0,×47,https://twitchtracker.com/games/1669431183
16,278888515,Gartic Phone,10.5,1100.0,31.0,×34,https://twitchtracker.com/games/278888515
17,20050,Perfect World,10.4,441.0,23.0,×19,https://twitchtracker.com/games/20050
18,15631,Grand Theft Auto: Vice City,10.1,791.0,17.0,×47,https://twitchtracker.com/games/15631
19,31336,Metin2,9.4,2300.0,38.0,×60,https://twitchtracker.com/games/31336
20,488190,Poker,9.4,2100.0,58.0,×37,https://twitchtracker.com/games/488190
21,9618,Pokémon Trading Card Game,9.3,1500.0,36.0,×41,https://twitchtracker.com/games/9618
22,528918758,Shatterline,9.2,288.0,13.0,×22,https://twitchtracker.com/games/528918758
23,685022220,Amenti,9.2,1000.0,18.0,×58,https://twitchtracker.com/games/685022220
24,511230,Stream Raiders,9.1,524.0,26.0,×20,https://twitchtracker.com/games/511230
25,24438,MU Online,9.0,865.0,38.0,×23,https://twitchtracker.com/games/24438
26,509538,Animal Crossing: New Horizons,8.8,1400.0,44.0,×31,https://twitchtracker.com/games/509538
27,1229,Super Mario World,8.7,547.0,20.0,×27,https://twitchtracker.com/games/1229
28,498302,Arena of Valor,8.5,278.0,12.0,×23,https://twitchtracker.com/games/498302
29,512864,Eternal Return,8.4,2100.0,32.0,×65,https://twitchtracker.com/games/512864
30,7595,Super Metroid,8.2,433.0,11.0,×39,https://twitchtracker.com/games/7595
31,502829,R2 Online: Reign of Revolution,8.2,398.0,25.0,×16,https://twitchtracker.com/games/502829
32,1471610418,Super Mario Party Jamboree,7.9,2300.0,22.0,×104,https://twitchtracker.com/games/1471610418
33,13263,EVE Online,7.7,792.0,23.0,×34,https://twitchtracker.com/games/13263
34,43579844,Lego & Brickbuilding,7.7,473.0,16.0,×30,https://twitchtracker.com/games/43579844
35,508948,Raid: Shadow Legends,7.6,320.0,16.0,×20,https://twitchtracker.com/games/508948
36,494436328,The Bazaar,7.6,2000.0,21.0,×96,https://twitchtracker.com/games/494436328
37,490655,Pokémon GO,7.5,664.0,18.0,×37,https://twitchtracker.com/games/490655
38,417528,Albion Online,7.4,5000.0,109.0,×46,https://twitchtracker.com/games/417528
39,1868356881,Zort,7.4,623.0,13.0,×48,https://twitchtracker.com/games/1868356881
40,29056,Knight Online,7.3,1200.0,28.0,×44,https://twitchtracker.com/games/29056
41,298860868,Age of Darkness: Final Stand,7.3,1600.0,16.0,×97,https://twitchtracker.com/games/298860868
42,509549,Pummel Party,7.1,305.0,14.0,×22,https://twitchtracker.com/games/509549
43,12482,The Legend of Zelda: Majora's Mask,7.0,689.0,17.0,×41,https://twitchtracker.com/games/12482
44,1331855755,Darts,7.0,810.0,16.0,×51,https://twitchtracker.com/games/1331855755
45,9954,EverQuest,6.8,128.0,11.0,×12,https://twitchtracker.com/games/9954
46,386821,Black Desert,6.8,5700.0,161.0,×36,https://twitchtracker.com/games/386821
47,955166543,Dark Hours,6.7,248.0,12.0,×21,https://twitchtracker.com/games/955166543
48,1468190144,Aion,6.7,143.0,13.0,×11,https://twitchtracker.com/games/1468190144
49,982017546,Palia,6.6,1400.0,46.0,×31,https://twitchtracker.com/games/982017546
50,1397210469,Miniatures & Models,6.6,470.0,32.0,×15,https://twitchtracker.com/games/1397210469
51,1743359147,Marvel Snap,6.6,768.0,18.0,×43,https://twitchtracker.com/games/1743359147
52,15229,Ragnarok Online,6.3,788.0,40.0,×20,https://twitchtracker.com/games/15229
53,493388,Foxhole,6.3,231.0,12.0,×19,https://twitchtracker.com/games/493388
54,515349,Lineage II,6.3,633.0,36.0,×18,https://twitchtracker.com/games/515349
55,509659,ASMR,6.1,14500.0,158.0,×91,https://twitchtracker.com/games/509659
56,509667,Food & Drink,6.1,1400.0,34.0,×41,https://twitchtracker.com/games/509667
57,478131056,Donkey Kong Country Returns HD,6.1,503.0,20.0,×25,https://twitchtracker.com/games/478131056
58,1846293708,Fields of Mistria,6.0,175.0,13.0,×13,https://twitchtracker.com/games/1846293708
59,369418,GeoGuessr,5.9,3700.0,36.0,×102,https://twitchtracker.com/games/369418
