Streamer_ID,Nombre,Avg_viewers,Time_streamed,All_time_peak_viewers,Hours_watched,Rank,Followers_gained,Total_followers,Total_views,Enlace
1,Rubius,25785.0,116.0,383747.0,2990000.0,29,45400.0,15600000.0,273000000.0,https://twitchtracker.com/rubius
2,Knekro,17064.0,161.1,110045.0,2750000.0,47,22800.0,1200000.0,64400000.00000001,https://twitchtracker.com/knekro
3,Ibai,38599.0,32.7,3846256.0,1260000.0,58,10500.0,17200000.0,359000000.0,https://twitchtracker.com/ibai
4,Kingsleague,26608.0,50.3,1098636.0,1340000.0,72,34200.0,3280000.0,446000.0,https://twitchtracker.com/kingsleague
5,Mixwell,11394.0,190.7,87546.0,2170000.0,74,14100.0,1200000.0,26400000.0,https://twitchtracker.com/mixwell
6,Djmariio,16657.0,105.8,105787.0,1760000.0,76,51700.0,1810000.0,3220000.0,https://twitchtracker.com/djmariio
7,Illojuan,32935.0,17.4,205005.0,572000.0,85,3300.0,4260000.0,72000000.0,https://twitchtracker.com/illojuan
8,Elxokas,12333.0,115.1,1208144.0,1420000.0,102,21600.0,4210000.0,96900000.0,https://twitchtracker.com/elxokas
9,Elmariana,18148.0,55.7,159115.0,1010000.0,106,43700.0,10200000.0,33300000.0,https://twitchtracker.com/elmariana
10,Auronplay,28933.0,11.6,602038.0,335000.0,109,9600.0,16700000.0,263000000.0,https://twitchtracker.com/auronplay
11,Juansguarnizo,12035.0,89.8,409967.0,1080000.0,131,25900.0,11500000.0,168000000.0,https://twitchtracker.com/juansguarnizo
12,Martinciriook,18275.0,30.9,42459.0,565000.0,153,22300.0,274000.0,0.0,https://twitchtracker.com/martinciriook
13,Quackitytoo,24576.0,7.0,140697.0,171000.0,160,10000.0,4750000.0,3510000.0,https://twitchtracker.com/quackitytoo
14,Peereira7,4776.0,244.6,70575.0,1170000.0,183,44300.0,1250000.0,29200000.0,https://twitchtracker.com/peereira7
15,Dolcedasousa,2658.0,478.5,8167.0,1270000.0,186,11800.0,16800.0,0.0,https://twitchtracker.com/dolcedasousa
16,Gerardromero,6004.0,170.2,146872.0,1020000.0,198,2300.0,738000.0,4540000.0,https://twitchtracker.com/gerardromero
17,Spursito,11435.0,56.4,71515.0,645000.0,209,12900.0,1490000.0,13000000.0,https://twitchtracker.com/spursito
18,Alondrissa,18840.0,8.3,150659.0,156000.0,221,11600.0,1570000.0,0.0,https://twitchtracker.com/alondrissa
19,Rivers_gg,9567.0,69.6,213846.0,665000.0,227,27900.0,6540000.0,4560000.0,https://twitchtracker.com/rivers_gg
20,Telefe,4202.0,199.5,76912.0,838000.0,252,5100.0,578000.0,0.0,https://twitchtracker.com/telefe
21,Agustinunaplay8,8570.0,66.7,21910.0,572000.0,258,7800.0,306000.0,1110000.0,https://twitchtracker.com/agustinunaplay8
22,Aldo_geo,4866.0,137.5,53044.0,669000.0,305,11500.0,1990000.0,4830000.0,https://twitchtracker.com/aldo_geo
23,Alexelcapo,5195.0,123.3,108851.0,640000.0,313,1100.0,1080000.0,79800000.0,https://twitchtracker.com/alexelcapo
24,Thegrefg,9916.0,36.9,2470347.0,366000.0,314,9100.0,12200000.0,263000000.0,https://twitchtracker.com/thegrefg
25,Werlyb,4552.0,143.2,76653.0,652000.0,321,4400.0,794000.0,33400000.0,https://twitchtracker.com/werlyb
26,Nissaxter,4315.0,140.5,17078.0,606000.0,339,3900.0,830000.0,12000000.0,https://twitchtracker.com/nissaxter
27,Tomateking,5175.0,98.8,40012.0,511000.0,370,1800.0,233000.0,2180000.0,https://twitchtracker.com/tomateking
28,Reventxz,3492.0,173.0,93336.0,604000.0,371,1700.0,926000.0,33100000.0,https://twitchtracker.com/reventxz
29,Poloteli,3853.0,148.9,19620.0,574000.0,380,4600.0,173000.0,0.0,https://twitchtracker.com/poloteli
30,Sergiofferra,3525.0,167.0,22632.0,589000.0,383,-74000.0,199000.0,0.0,https://twitchtracker.com/sergiofferra
31,Alanalarana,8431.0,35.1,68835.0,296000.0,391,47400.0,915000.0,351000.0,https://twitchtracker.com/alanalarana
32,Desst3,4735.0,96.7,29383.0,458000.0,426,1500.0,601000.0,12800000.0,https://twitchtracker.com/desst3
33,Damonbairdgears,1405.0,442.7,2241.0,622000.0,440,9300.0,9400.0,0.0,https://twitchtracker.com/damonbairdgears
34,Nexxuz,4627.0,92.0,27402.0,425000.0,447,9500.0,403000.0,0.0,https://twitchtracker.com/nexxuz
35,Revenant,3902.0,119.1,18544.0,465000.0,450,877.0,482000.0,34700000.0,https://twitchtracker.com/revenant
36,Elded,3506.0,138.8,59255.0,487000.0,452,1300.0,5670000.0,82400000.0,https://twitchtracker.com/elded
37,Dolcedasousad,2692.0,193.2,13698.0,520000.0,463,12000.0,12700.0,0.0,https://twitchtracker.com/dolcedasousad
38,Lvpes,3565.0,129.1,232608.0,460000.0,473,1300.0,1100000.0,241000000.0,https://twitchtracker.com/lvpes
39,Juntaurgentee,842.0,719.5,1809.0,606000.0,487,3600.0,31900.0,0.0,https://twitchtracker.com/juntaurgentee
40,Putupau,2922.0,157.9,21928.0,461000.0,509,4000.0,469000.0,8170000.0,https://twitchtracker.com/putupau
41,Fullmalcolm,791.0,713.1,1511.0,564000.0,533,9700.0,47600.0,0.0,https://twitchtracker.com/fullmalcolm
42,Crystalmolly,4019.0,90.0,32522.0,362000.0,549,10200.0,920000.0,1900000.0,https://twitchtracker.com/crystalmolly
43,Baitybait,4695.0,65.6,24554.0,308000.0,561,7100.0,378000.0,377000.0,https://twitchtracker.com/baitybait
44,Deusamir,2997.0,131.1,30496.0,393000.0,578,6300.0,315000.0,0.0,https://twitchtracker.com/deusamir
45,Soypan,2115.0,204.5,274597.0,432000.0,592,2100.0,1120000.0,12900000.0,https://twitchtracker.com/soypan
46,Roxasorg13th,2476.0,160.8,9916.0,398000.0,614,4000.0,209000.0,724000.0,https://twitchtracker.com/roxasorg13th
47,Kingsleagueamericas,5484.0,39.9,77408.0,219000.0,626,10900.0,532000.0,0.0,https://twitchtracker.com/kingsleagueamericas
48,Agustabell212,2704.0,136.7,38014.0,370000.0,639,537.0,277000.0,8050000.000000001,https://twitchtracker.com/agustabell212
49,Sirmaza,2257.0,162.9,28812.0,368000.0,678,6400.0,426000.0,5590000.0,https://twitchtracker.com/sirmaza
50,Roier,4592.0,50.8,300741.0,233000.0,680,6700.0,2520000.0,3270000.0,https://twitchtracker.com/roier
51,Diariomarca,5703.0,25.1,148692.0,143000.0,718,115.0,39400.0,9600000.0,https://twitchtracker.com/diariomarca
52,Menostrece,2647.0,115.3,47821.0,305000.0,738,2400.0,1230000.0,33200000.000000004,https://twitchtracker.com/menostrece
53,Starwraith,2173.0,152.4,15509.0,331000.0,742,5300.0,357000.0,3580000.0,https://twitchtracker.com/starwraith
54,Th3antonio,1499.0,245.6,38970.0,368000.0,744,2300.0,453000.0,29300000.0,https://twitchtracker.com/th3antonio
55,Imantado,2861.0,100.4,40608.0,287000.0,750,3000.0,965000.0,4220000.0,https://twitchtracker.com/imantado
56,B0rja,1622.0,219.9,6005.0,357000.0,752,-74800.0,109000.0,0.0,https://twitchtracker.com/b0rja
57,Zeling,2422.0,127.3,204713.0,308000.0,760,4500.0,587000.0,25000000.0,https://twitchtracker.com/zeling
58,Mym_alkapone,2494.0,119.7,39163.0,298000.0,776,178.0,1160000.0,61500000.0,https://twitchtracker.com/mym_alkapone
59,Mictia00,1822.0,184.7,36133.0,336000.0,779,41900.0,869000.0,3090000.0,https://twitchtracker.com/mictia00
60,Josedeodo,4932.0,31.7,16208.0,156000.0,783,5200.0,485000.0,3060000.0,https://twitchtracker.com/josedeodo
61,Elchiringuitotv,1769.0,180.4,129514.0,319000.0,812,2900.0,1020000.0,17800000.0,https://twitchtracker.com/elchiringuitotv
62,Crackheber,2305.0,123.5,5865.0,285000.0,820,8200.0,259000.0,737000.0,https://twitchtracker.com/crackheber
63,Toniki,1819.0,167.1,30946.0,304000.0,835,5400.0,274000.0,3100000.0,https://twitchtracker.com/toniki
64,Cacho01,2342.0,116.5,24090.0,273000.0,837,10400.0,804000.0,8070000.0,https://twitchtracker.com/cacho01
65,Rubenmartinweb,3206.0,69.0,18376.0,221000.0,840,703.0,181000.0,6090000.0,https://twitchtracker.com/rubenmartinweb
66,M2cg,1238.0,260.4,4798.0,322000.0,868,1200.0,53300.0,0.0,https://twitchtracker.com/m2cg
67,Horcus,2033.0,135.7,6951.0,276000.0,870,22500.0,695000.0,9510000.0,https://twitchtracker.com/horcus
68,Alexcampu4,1381.0,221.1,3231.0,305000.0,888,3000.0,40000.0,0.0,https://twitchtracker.com/alexcampu4
69,Nataliamx,3575.0,49.3,21360.0,176000.0,901,32400.0,165000.0,0.0,https://twitchtracker.com/nataliamx
70,Folagorlives,3870.0,41.1,57813.0,159000.0,902,1600.0,1640000.0,46900000.0,https://twitchtracker.com/folagorlives
71,Snoodyboo,2162.0,110.4,9623.0,239000.0,947,695.0,141000.0,17800000.0,https://twitchtracker.com/snoodyboo
72,Staryuuki,2490.0,87.2,33699.0,217000.0,959,9100.0,3450000.0,42300000.0,https://twitchtracker.com/staryuuki
73,El_reymo12,511.0,640.6,1279.0,327000.0,968,9100.0,9300.0,0.0,https://twitchtracker.com/el_reymo12
74,Vegetta777,2721.0,73.6,66389.0,200000.0,974,15700.0,2730000.0,0.0,https://twitchtracker.com/vegetta777
75,Send0o,1286.0,217.1,9163.0,279000.0,983,5700.0,158000.0,7320000.0,https://twitchtracker.com/send0o
76,Carola,2212.0,102.1,79320.0,226000.0,985,2200.0,1810000.0,20300000.0,https://twitchtracker.com/carola
77,Jujalag,1989.0,117.1,15879.0,233000.0,1005,3200.0,550000.0,6670000.0,https://twitchtracker.com/jujalag
78,Twtawpine,879.0,337.2,1761.0,296000.0,1006,1600.0,3300.0,0.0,https://twitchtracker.com/twtawpine
79,Esportmaniacos,1579.0,158.5,19603.0,250000.0,1031,198.0,179000.0,30000000.0,https://twitchtracker.com/esportmaniacos
80,Silithur,1646.0,147.6,50479.0,243000.0,1045,510.0,610000.0,18100000.0,https://twitchtracker.com/silithur
81,Vickypalami,1733.0,136.0,31330.0,236000.0,1055,3100.0,869000.0,3980000.0,https://twitchtracker.com/vickypalami
82,Mfreak00,1715.0,136.7,24001.0,234000.0,1068,2100.0,84900.0,1160000.0,https://twitchtracker.com/mfreak00
83,Farfadoxvevo,4846.0,11.2,80328.0,54200.0,1074,1100.0,1730000.0,9810000.0,https://twitchtracker.com/farfadoxvevo
84,Chavo8tv,439.0,697.7,1398.0,307000.0,1075,2400.0,137000.0,0.0,https://twitchtracker.com/chavo8tv
85,Toadamarillo,560.0,533.3,16912.0,299000.0,1080,1500.0,73300.0,0.0,https://twitchtracker.com/toadamarillo
86,Elbokeron,1664.0,138.8,34861.0,231000.0,1099,-2400.0,527000.0,5620000.0,https://twitchtracker.com/elbokeron
87,Jimrsng,769.0,361.2,8132.0,278000.0,1119,939.0,93800.0,12200000.0,https://twitchtracker.com/jimrsng
88,Skain,1725.0,128.2,27237.0,221000.0,1125,1100.0,226000.0,7340000.0,https://twitchtracker.com/skain
89,Luzu_tv,1264.0,194.6,10317.0,246000.0,1133,3900.0,442000.0,0.0,https://twitchtracker.com/luzu_tv
90,Kerios,1850.0,114.1,17349.0,211000.0,1135,4700.0,368000.0,7270000.0,https://twitchtracker.com/kerios
91,Franluque10,1020.0,250.2,17638.0,255000.0,1151,21800.0,156000.0,566000.0,https://twitchtracker.com/franluque10
92,El_yuste,2315.0,78.1,26362.0,181000.0,1152,432.0,179000.0,2930000.0,https://twitchtracker.com/el_yuste
93,Polispol1,1466.0,154.7,47586.0,227000.0,1167,117.0,1240000.0,7080000.0,https://twitchtracker.com/polispol1
94,Quesadacid,2705.0,57.3,27818.0,155000.0,1172,3000.0,211000.0,4330000.0,https://twitchtracker.com/quesadacid
95,Elyihi,2280.0,76.0,11106.0,173000.0,1195,494.0,74500.0,1250000.0,https://twitchtracker.com/elyihi
96,Fullreacciones_,384.0,720.0,1621.0,277000.0,1218,2300.0,42200.0,0.0,https://twitchtracker.com/fullreacciones_
97,Ijenzlive,1733.0,112.6,5861.0,195000.0,1238,1600.0,65800.0,0.0,https://twitchtracker.com/ijenzlive
98,Llunaclark,2457.0,62.3,69983.0,153000.0,1244,-100000.0,486000.0,3010000.0,https://twitchtracker.com/llunaclark
99,Rickyedit,2717.0,50.4,27691.0,137000.0,1252,11200.0,1180000.0,15800000.0,https://twitchtracker.com/rickyedit
100,Xparga,1130.0,201.7,4167.0,228000.0,1253,6000.0,104000.0,2130000.0,https://twitchtracker.com/xparga
101,Jaimemellado_,1892.0,90.4,10852.0,171000.0,1318,5200.0,59800.0,0.0,https://twitchtracker.com/jaimemellado_
102,Nezumivy,1484.0,128.5,5667.0,191000.0,1333,2000.0,95600.0,0.0,https://twitchtracker.com/nezumivy
103,Shinchancastellano_247,354.0,711.4,2283.0,251000.0,1355,2000.0,34900.0,0.0,https://twitchtracker.com/shinchancastellano_247
104,Guibelreviewslive,2109.0,70.7,8128.0,149000.0,1362,1400.0,172000.0,2550000.0,https://twitchtracker.com/guibelreviewslive
105,Agentemaxo,1297.0,149.5,42327.0,194000.0,1367,760.0,1290000.0,20200000.0,https://twitchtracker.com/agentemaxo
106,Reudigruediger,2145.0,67.1,8031.0,144000.0,1376,1100.0,85300.0,2680000.0,https://twitchtracker.com/reudigruediger
107,Akuasmr,339.0,719.1,36739.0,244000.0,1397,3100.0,618000.0,8390000.0,https://twitchtracker.com/akuasmr
108,Valorant_la,2382.0,52.9,50960.0,126000.0,1401,2100.0,427000.0,6800000.0,https://twitchtracker.com/valorant_la
109,Pituherranz,1487.0,118.6,25069.0,176000.0,1407,597.0,117000.0,6800000.0,https://twitchtracker.com/pituherranz
110,Esb_dota2,1583.0,106.9,16089.0,169000.0,1419,1600.0,90100.0,0.0,https://twitchtracker.com/esb_dota2
111,Eltronokl,1695.0,94.0,7387.0,159000.0,1443,2300.0,29600.0,0.0,https://twitchtracker.com/eltronokl
112,Jpeidro,333.0,706.2,1264.0,235000.0,1455,387.0,30200.0,0.0,https://twitchtracker.com/jpeidro
113,Bystaxx,2236.0,55.9,269907.0,125000.0,1466,2000.0,2230000.0,30800000.0,https://twitchtracker.com/bystaxx
114,Cristaltv13,360.0,641.8,875.0,231000.0,1474,1000.0,20700.0,0.0,https://twitchtracker.com/cristaltv13
115,Cuevanatv,549.0,401.0,1165.0,220000.0,1476,17600.0,24400.0,0.0,https://twitchtracker.com/cuevanatv
116,Tvander,1696.0,90.8,34659.0,154000.0,1481,-78.0,550000.0,18600000.0,https://twitchtracker.com/tvander
117,Nilojeda,3364.0,17.3,74775.0,58200.0,1482,3200.0,1080000.0,6060000.0,https://twitchtracker.com/nilojeda
118,Viizzzm,1195.0,149.1,4503.0,178000.0,1503,6800.0,560000.0,0.0,https://twitchtracker.com/viizzzm
119,Hitboxking,951.0,197.6,39437.0,188000.0,1534,1100.0,582000.0,18800000.0,https://twitchtracker.com/hitboxking
120,Trebor,1996.0,63.2,11202.0,126000.0,1549,9800.0,678000.0,1970000.0,https://twitchtracker.com/trebor
121,Cuevana3tv,352.0,623.7,968.0,219000.0,1556,15200.0,17400.0,0.0,https://twitchtracker.com/cuevana3tv
122,Marioreyes22,1069.0,166.3,4498.0,178000.0,1559,2200.0,43000.0,0.0,https://twitchtracker.com/marioreyes22
123,Hd_latino,329.0,666.7,1070.0,219000.0,1562,2100.0,9700.0,0.0,https://twitchtracker.com/hd_latino
124,Arrozydesgracias,1181.0,142.2,10037.0,168000.0,1576,2500.0,361000.0,419000.0,https://twitchtracker.com/arrozydesgracias
125,Tanizen,577.0,350.8,32841.0,202000.0,1577,525.0,839000.0,10800000.0,https://twitchtracker.com/tanizen
126,Getflakked,2602.0,33.1,11448.0,86000.0,1583,221.0,206000.0,5510000.0,https://twitchtracker.com/getflakked
127,金剛一起才強大,483.0,428.0,1572.0,207000.0,1587,403.0,7000.0,0.0,https://twitchtracker.com/szero7716
128,Xguiry,508.0,394.7,12272.0,201000.0,1617,402.0,91400.0,2430000.0,https://twitchtracker.com/xguiry
129,Aruberutomakoto,1086.0,154.1,2039.0,167000.0,1619,5000.0,57300.0,0.0,https://twitchtracker.com/aruberutomakoto
130,Alvarostorm,1041.0,162.6,5584.0,169000.0,1623,3200.0,76500.0,1310000.0,https://twitchtracker.com/alvarostorm
131,Machete_vilches,2479.0,34.3,6222.0,85000.0,1633,1100.0,149000.0,441000.0,https://twitchtracker.com/machete_vilches
132,Japanjordi,1757.0,71.4,25709.0,125000.0,1640,429.0,59500.0,0.0,https://twitchtracker.com/japanjordi
133,Elchiringuitodirectoo,2050.0,52.4,8466.0,107000.0,1645,1800.0,22800.0,0.0,https://twitchtracker.com/elchiringuitodirectoo
134,Futbol_fantasy,2626.0,27.8,8595.0,73000.0,1653,332.0,31100.0,15300000.0,https://twitchtracker.com/futbol_fantasy
135,Nakoo_fn,1199.0,128.4,35326.0,154000.0,1659,1500.0,809000.0,19900000.0,https://twitchtracker.com/nakoo_fn
136,Peliculas__engeneracion,414.0,476.9,978.0,198000.0,1669,-62800.0,68600.0,0.0,https://twitchtracker.com/peliculas__engeneracion
137,Ltaespanol,2668.0,23.7,302299.0,63200.0,1713,-1100.0,685000.0,35000000.0,https://twitchtracker.com/ltaespanol
138,Natalan,1459.0,90.4,10273.0,132000.0,1718,11800.0,1910000.0,15600000.0,https://twitchtracker.com/natalan
139,K1ng,2752.0,20.9,59139.0,57500.0,1720,1700.0,2060000.0,28100000.0,https://twitchtracker.com/k1ng
140,Chigre,1637.0,73.4,21641.0,120000.0,1730,939.0,365000.0,7420000.0,https://twitchtracker.com/chigre
141,Warchiwar,875.0,182.6,18995.0,160000.0,1766,2600.0,165000.0,15700000.0,https://twitchtracker.com/warchiwar
142,Mirreytv,982.0,156.4,10047.0,154000.0,1767,4200.0,207000.0,0.0,https://twitchtracker.com/mirreytv
143,Ache,830.0,191.5,8544.0,159000.0,1797,3600.0,427000.0,9020000.0,https://twitchtracker.com/ache
144,Safiro01,1193.0,115.7,4104.0,138000.0,1798,3300.0,143000.0,1440000.0,https://twitchtracker.com/safiro01
145,Olgaenvivo,1020.0,142.2,21310.0,145000.0,1827,2300.0,189000.0,0.0,https://twitchtracker.com/olgaenvivo
146,Excojm,1073.0,129.9,4317.0,139000.0,1853,2300.0,74900.0,0.0,https://twitchtracker.com/excojm
147,Yosoypeterg,256.0,720.0,522.0,184000.0,1877,2400.0,10800.0,0.0,https://twitchtracker.com/yosoypeterg
148,Miikelmst,1152.0,113.2,8049.0,130000.0,1901,1300.0,339000.0,4250000.0,https://twitchtracker.com/miikelmst
149,Feirlygab,1961.0,42.6,38983.0,83500.0,1906,5500.0,261000.0,0.0,https://twitchtracker.com/feirlygab
150,Midudev,2297.0,27.3,18689.0,62700.0,1917,4700.0,173000.0,617000.0,https://twitchtracker.com/midudev
151,Pirutastic,653.0,239.5,12645.0,156000.0,1924,3600.0,96800.0,0.0,https://twitchtracker.com/pirutastic
152,Mariotaxi,1006.0,134.8,5459.0,136000.0,1928,3500.0,121000.0,0.0,https://twitchtracker.com/mariotaxi
153,Sofikimmy,1464.0,74.8,6361.0,109000.0,1929,1600.0,242000.0,8810000.0,https://twitchtracker.com/sofikimmy
154,Housefans2023,413.0,407.8,1087.0,168000.0,1937,5300.0,5500.0,0.0,https://twitchtracker.com/housefans2023
155,Milan926_,696.0,214.9,18683.0,150000.0,1953,913.0,894000.0,11300000.0,https://twitchtracker.com/milan926_
