,Categoria,Year,Month,AvgViewers,ViewersGain,PercentageGainViewers,PeakViewers,HoursStreamed,HoursGain,% Gain,Followers,PercentageGainFollowers,FollowesGain,Perhour
0,Rubius,2025,Jan,25969,2103,8.8,52398.0,105.0,+18.9,+22.1%,"15,592,544","+40,863",+0.3%,+391
1,Rubius,2024,Dec,23866,-15331,-39.1,45559.0,85.5,-16.3,-16%,"15,551,681","+33,078",+0.2%,+387
2,Rubius,2024,Nov,39197,8792,28.9,226338.0,102.0,-5.3,-5%,"15,518,603","+97,315",+0.6%,+956
3,Rubius,2024,Oct,30405,-7404,-19.6,196341.0,107.0,+24.5,+29.6%,"15,421,288","+88,413",+0.6%,+825
4,Rubius,2024,Sep,37809,14208,60.2,383747.0,82.7,-20.7,-20.1%,"15,332,875","+169,873",+1.1%,"+2,055"
5,Rubius,2024,Aug,23601,-2040,-8.0,50995.0,103.0,+41,+65.6%,"15,163,002","+56,747",+0.4%,+549
6,Rubius,2024,Jul,25641,386,1.5,73179.0,62.4,-25.2,-28.8%,"15,106,255","+65,342",+0.4%,"+1,047"
7,Rubius,2024,Jun,25255,3648,16.9,47753.0,87.7,+10.8,+14%,"15,040,913","+54,330",+0.4%,+620
8,Rubius,2024,May,21607,3358,18.4,35500.0,76.9,-38.6,-33.4%,"14,986,583","+42,112",+0.3%,+548
9,Rubius,2024,Apr,18249,-2855,-13.5,29513.0,116.0,-12.9,-10%,"14,944,471","+33,975",+0.2%,+294
10,Rubius,2024,Mar,21104,65,0.3,48554.0,128.0,+27.4,+27.1%,"14,910,496","+49,082",+0.3%,+382
11,Rubius,2024,Feb,21039,-838,-3.8,39307.0,101.0,-31.7,-23.9%,"14,861,414","+43,892",+0.3%,+434
12,Rubius,2024,Jan,21877,-5530,-20.2,41450.0,133.0,+43.5,+48.7%,"14,817,522","+69,270",+0.5%,+522
13,Rubius,2023,Dec,27407,-1799,-6.2,249060.0,89.3,-56.4,-38.7%,"14,748,252","+58,097",+0.4%,+651
14,Rubius,2023,Nov,29206,11335,63.4,157167.0,146.0,-2.3,-1.5%,"14,690,155","+108,320",+0.7%,+744
15,Rubius,2023,Oct,17871,-1455,-7.5,46826.0,148.0,+32.7,+28.3%,"14,581,835","+57,964",+0.4%,+392
16,Rubius,2023,Sep,19326,-2269,-10.5,55519.0,115.0,-29.7,-20.5%,"14,523,871","+49,286",+0.3%,+428
17,Rubius,2023,Aug,21595,-16019,-42.6,51025.0,145.0,+66.3,+84.3%,"14,474,585","+96,889",+0.7%,+668
18,Rubius,2023,Jul,37614,14056,59.7,90552.0,78.7,-60.3,-43.4%,"14,377,696","+213,959",+1.5%,"+2,719"
